Country,Version,Language,Date,PDF
Democratic People's Republic of Korea,First (Updated submission),English,19/09/2019,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20People%27s%20Republic%20of%20Korea%20First/2019.09.19_DPRK%20letter%20to%20SG%20special%20envoy%20for%20NDC.pdf
Democratic Republic of the Congo,First,French,13/12/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Democratic%20Republic%20of%20the%20Congo%20First/CPDN%20-%20Rép%20Dém%20du%20Congo.pdf
Djibouti,First,French,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Djibouti%20First/CPDN%20Djibouti_9%20-%20CPDN%20-%20Format%20pour%20soumission%20CCNUCC.pdf
Djibouti,First,English,11/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Djibouti%20First/INDC-Djibouti_ENG.pdf
Dominica,First,English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominica%20First/Commonwealth%20of%20Dominica-%20Intended%20Nationally%20Determined%20Contributions%20(INDC).pdf
Dominican Republic,First (Archived),Spanish,21/09/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/INDC-RD%20Agosto%202015%20(español).pdf
Dominican Republic,First (Updated submission),Spanish,29/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/Dominican%20Republic%20First%20NDC%20(Updated%20Submission).pdf
Dominican Republic,First (Archived),English,21/09/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Dominican%20Republic%20First/INDC-DR%20August%202015%20(unofficial%20translation).pdf
Ecuador,First,Spanish,29/03/2019,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ecuador%20First/Primera%20NDC%20Ecuador.pdf
Egypt,First,English,29/06/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Egypt%20First/Egyptian%20INDC.pdf
El Salvador,First (Archived),Spanish,27/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/El%20Salvador%20First/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION.pdf
El Salvador,First,Spanish,30/10/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/El%20Salvador%20First/EL%20SALVADOR-INTENDED%20NATIONALLY%20DETERMINED%20CONTRIBUTION%20B.pdf
Equatorial Guinea,First,Spanish,30/10/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Equatorial%20Guinea%20First/República%20de%20Guinea%20Ecuatorial_INDC.pdf
Eritrea,First,English,19/06/2018,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eritrea%20First/NRC%20Eritrea.pdf
Eswatini,First (Archived),English,21/09/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eswatini%20First/Eswatini%27s%20INDC.pdf
Eswatini,First (Updated submission),English,12/10/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Eswatini%20First/Eswatini%27s%20Revised%20NDC%2012%20Oct%202021.docx
Ethiopia,First (Archived),English,09/03/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/INDC-Ethiopia-100615.pdf
Ethiopia,First (Updated submission),English,23/07/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/Ethiopia%27s%20updated%20NDC%20JULY%202021%20Submission_.pdf
Ethiopia,First (Updated submission),English,31/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Ethiopia%20First/Ethiopia%27s%20NDC%20update%20summary%202020.pdf
European Union,First (Archived),English,05/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/European%20Union%20First/LV-03-06-EU%20INDC(Archived).pdf
European Union,First (Updated submission),English,18/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/European%20Union%20First/EU_NDC_Submission_December%202020.pdf
Fiji,First (Archived),English,22/04/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Fiji%20First/FIJI_iNDC_Final_051115.pdf
Fiji,First (Updated submission),English,31/12/2020,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Fiji%20First/Republic%20of%20Fiji%27s%20Updated%20NDC%2020201.pdf
France,First-Complement (Archived),French,05/10/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/France%20First/CDN%20France%20PTOM%20-%205%20octobre%202016.pdf
France,First-Complement (Updated submission),French,04/03/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/France%20First/FR%20CDN%20addendum%20révisé%20-%202021.pdf
Gabon,First,French,02/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Gabon%20First/20150331%20INDC%20Gabon.pdf
Gambia,Second,English,12/09/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Gambia%20Second/Second%20NDC%20of%20The%20Republic%20of%20The%20Gambia.pdf
Gambia,First (Archived),English,07/11/2016,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Gambia%20First/The%20INDC%20OF%20THE%20GAMBIA.pdf
Georgia,First (Archived),English,08/05/2017,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Georgia%20First/INDC_of_Georgia.pdf
Georgia,First (Updated submission),English,05/05/2021,https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Georgia%20First/NDC%20Georgia_ENG%20WEB-approved.pdf
